"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TAPBP",3226.51398301131,16704.3218414997,3.84848926435231,0.000182415452934343,0.0335713925000308,-1.31960107849362
"CHGB",574.51126924687,5175.90637265225,3.84362738881173,0.000185703943522631,0.0337493994234985,-1.32814077649831
"GRHL3",5.62680433092063,58.9185474897925,3.84153082464146,0.00018713934293133,0.0337493994234985,-1.33182096122112
"RNF183",5.57710402584198,56.575060028495,3.83938095045132,0.000188622186800757,0.0337493994234985,-1.33559325147801
"PCDHGC5",-4.57974600705866,27.3255835289834,-3.82946839091705,0.000195604832535309,0.0344033683336249,-1.35296708563189
"SPATA17",4.93563342705033,36.0484081753397,3.82891639816222,0.000196000801120971,0.0344033683336249,-1.35393363491434
"MAMDC4",-341.067930370282,5410.2068277919,-3.82667265480722,0.000197618189041211,0.0344033683336249,-1.35786145513268
"SS18L1",-191.928446970153,3719.18839819424,-3.8221456869594,0.000200920101326739,0.0346658931967669,-1.36578124747039
"PARP9",872.804959502271,11624.6539455447,3.81797364712356,0.000204009478667674,0.0348874262457888,-1.3730742223346
"CPNE7",215.694560028709,2781.51211698219,3.78618251434479,0.000229076778008232,0.0388305233178165,-1.42846104681933
"MAT1A",2.58718669617758,11.4317349924396,3.77160083211833,0.00024152790445379,0.0405850889188265,-1.45375489963769
"CA4",381.833046599267,1225.56457740383,3.75912900122189,0.000252684201612319,0.0420937026892797,-1.47533350742445
"CDH16",-32.8383805706764,293.504350161491,-3.75220665233364,0.000259085484860928,0.0425510943751283,-1.48728834745231
"PLAAT3",522.207489860622,4132.58317606624,3.75140799299953,0.000259833840626431,0.0425510943751283,-1.48866660764557
"GBP1",996.985729736199,8380.84394894878,3.73836126009158,0.000272352770170555,0.0442264279897127,-1.51115170486503
"GOLM1",1335.03280397203,17153.2492822927,3.73302817088143,0.000277632918379369,0.0447081542896911,-1.5203266579807
"SLC47A2",31.9029572291683,284.741105379418,3.7172109813811,0.000293869357264678,0.0466106099290488,-1.54748268231124
"ARID3C",-5.03654962014715,46.4977489150649,-3.7168302174994,0.000294271083178636,0.0466106099290488,-1.54813537674366
"PRRT1B",25.8441442842614,310.443317247751,3.70544866989635,0.000306522136966939,0.048156372152432,-1.56762295362737
"FOXD2",25.1665638571517,127.065026042811,3.68510501032365,0.000329631733258068,0.0513266404223213,-1.60234751047473
"SCPEP1",-809.600021714414,9321.77027674569,-3.68308559519741,0.000332013561001354,0.0513266404223213,-1.60578686587121
"MYBPH",48.8240461805347,23.9112607079903,3.67768312912911,0.000338465878313613,0.0515772638001193,-1.61498129820589
"EIF5AL1",59.8085311359696,179.533805115122,3.67726273529163,0.000338972909470873,0.0515772638001193,-1.61569635236851
"CASP1",1706.60763354665,19478.6322338006,3.66580323910999,0.000353073979984587,0.0533031374157981,-1.63516502263335
"PHF1",513.246255249144,1119.74274529534,3.65788366395896,0.0003631413269965,0.0543980077742664,-1.6485937539725
"VSTM5",25.4129066220018,291.705909674098,3.65511161218959,0.000366728827357198,0.0545128296911576,-1.65328913355781
"ZNF169",-54.1073565831182,774.892519420547,-3.6510227152166,0.000372081752784238,0.0546653048431378,-1.66021026847233
"C2",1342.24888161752,10189.1955802642,3.65001495312887,0.000373412349373535,0.0546653048431378,-1.6619152015804
"TLX1",15.9299994018066,185.371893771322,3.63898065041176,0.000388278712305621,0.0564142694480739,-1.68056048295966
"SECTM1",4595.60230232698,50448.7610704558,3.63186205033286,0.000398164398170952,0.0571206804312792,-1.69256720041701
"CD244",65.8189651253206,995.893436065127,3.63123068390494,0.000399052569769338,0.0571206804312792,-1.69363127252421
"ISL1",12.6282715798289,152.381789863809,3.62907191629251,0.000402103565041468,0.0571341859622157,-1.69726851997385
"SERPINA7",18.2474822037445,151.784518528933,3.62416222747988,0.000409124685107553,0.0577074847811558,-1.70553479629732
"SIRPA",-1136.23805575163,12653.3093243047,-3.62088130103771,0.000413880951861944,0.0579553298100014,-1.71105419125078
"TAP1",2605.14725339473,28966.9635137967,3.61556650213326,0.000421696626010892,0.058624932381543,-1.71998729188641
"PLEKHG5",230.893270323624,3915.1772266376,3.60455024212599,0.000438342490047159,0.0597000905044847,-1.73847258151889
"CARD16",332.462959502303,2871.12638350095,3.60293865872596,0.000440829016267963,0.0597000905044847,-1.74117332845603
"OR6C75",7.08243105820423,2.43977174334967,3.60292640279233,0.000440847976958149,0.0597000905044847,-1.74119386395408
"SNTG2",15.5637275827002,87.8483212700564,3.60231935305324,0.000441788084358379,0.0597000905044847,-1.74221094496661
"NT5DC3",-71.490446132678,973.937184870597,-3.59822530265297,0.000448177913652917,0.0601429861349234,-1.74906701165237
"SMIM5",1134.57927229764,12040.1122764623,3.5870060583918,0.000466138337081834,0.0621217739708232,-1.76782566512567
"LEFTY1",24.9419600406772,68.8615185228202,3.58204551719933,0.000474294041620508,0.0627757401388678,-1.7761058916867
"ZBTB9",38.8827786684212,83.2347391845968,3.57225286271948,0.000490790946430206,0.0644498052636143,-1.79242701695658
"NKX2-2",13.4659979661425,176.788657800596,3.57060902857865,0.000493612667098681,0.0644498052636143,-1.79516349470851
"UNC93A",-48.5915391517613,367.601746603069,-3.56852737621041,0.000497207874270035,0.0644835232375447,-1.79862746215461
"DAXX",543.549270622717,2780.97042573734,3.56127150121052,0.000509933369874401,0.0652496239611718,-1.81068983687536
"AKR1C4",8.44067793264344,68.1244239977749,3.56000353945217,0.000512188416624896,0.0652496239611718,-1.81279585801613
"REG3G",6117.50866243942,14553.7488157407,3.55941135815772,0.00051324481691669,0.0652496239611718,-1.81377925033303
"FGF9",83.4143236226608,917.731528109198,3.55686872318214,0.000517804038403321,0.0653989884843515,-1.81800023467845
"IER3",100.229481785008,195.629924460829,3.54883727978854,0.000532457243472306,0.0668130115120704,-1.83131833245955
"MT2A",5215.76659885149,33856.7967367709,3.54538357467107,0.000538877823774361,0.0671824197846178,-1.83703851713043
"ENKUR",38.6554558832332,273.705019649563,3.52308800961246,0.00058211401803855,0.0720314269880382,-1.87386526083203
"SLC25A51",-117.582353771605,1742.06512234497,-3.52154332788075,0.000585227387555475,0.0720314269880382,-1.87641025045238
"BNIPL",-11.2039672189983,169.505425711141,-3.51704059626886,0.000594392500700697,0.0726964600224067,-1.88382409523966
"THSD4",-638.323576179924,8806.77546739824,-3.50176491623895,0.000626502019891566,0.0756734895905675,-1.90892276691426
"ZSCAN9",-136.257493090864,1804.52195540839,-3.49875159411379,0.000633025733873193,0.0756734895905675,-1.9138641013706
"ATP5MF-PTCD1",-31.2724373990558,486.091200042877,-3.49685330089118,0.00063716820384153,0.0756734895905675,-1.91697533517604
"FYB2",36.0661018125263,295.537833405743,3.4967340637453,0.000637429253196328,0.0756734895905675,-1.9171707181183
"BST1",-347.00656792487,3743.53749393794,-3.49633030929124,0.000638313951731655,0.0756734895905675,-1.91783227615892
"NUPR2",2.30489537596458,15.6037388523156,3.48195508146795,0.000670575662412352,0.0790134396369286,-1.94134879863528
"IQCN",-95.5155460908064,1054.49340778106,-3.47510840005231,0.000686474576857594,0.0796887076953302,-1.9525236237182
"SAA2",78.5559213375604,159.857629468931,3.47398796015759,0.000689109879219508,0.0796887076953302,-1.95435077003406
"TMA7B",27.2823855955014,41.0987056630581,3.47248018124788,0.00069267121983754,0.0796887076953302,-1.95680886282311
"ACAA2",1820.30583573608,29738.7842923786,3.47242501568703,0.000692801847071801,0.0796887076953302,-1.95689878250915
"VWA5B2",53.2923601124618,729.572789080481,3.46940724028601,0.000699983048707452,0.0800382984214367,-1.96181610102627
"OPN1SW",3.05174373392354,4.26907265605317,3.45404655720225,0.000737632572499466,0.0838471284175275,-1.98679541629551
"TDRD9",-13.1764780762099,110.099721018291,-3.45026631531863,0.000747185381525606,0.0844305984468506,-1.99292990703046
"CWH43",7.28360351737746,19.5060821428774,3.44562607204152,0.000759070264921943,0.0844305984468506,-2.00045301850852
"MT1M",808.3187532452,4414.2486551227,3.44526856636369,0.000759993256356408,0.0844305984468506,-2.00103231466032
"AMER3",8.62791409941983,78.6334565106808,3.44517213465698,0.000760242399593873,0.0844305984468506,-2.00118856314908
"DAND5",2.7929652449602,17.7627215444394,3.43641175735056,0.000783198530437699,0.0864830194410176,-2.01536915381676
"TMEM145",15.2113053777592,53.6456822950893,3.4323354838371,0.00079410055067674,0.0867331092558449,-2.02195813476721
"FOXA2",45.6796879822929,535.370134187018,3.43220937416169,0.000794440092024661,0.0867331092558449,-2.0221618863973
"FKBP11",350.368846623199,2986.31362136101,3.42890985139509,0.000803372383181317,0.0867624421213171,-2.02749080119932
"ALPG",18.1677875216845,44.9285653836363,3.42879370114889,0.000803688529275293,0.0867624421213171,-2.02767831926582
"HTR4",183.685630196804,2466.53329147478,3.41921480300051,0.000830166556597816,0.0891229918872011,-2.04312625032013
"RGS11",-186.835737991266,1900.30000261372,-3.41385149386454,0.000845346941027305,0.0898158368347668,-2.0517612855769
"CLEC4F",-95.3419001016916,851.068908072512,-3.41365217605753,0.000845916078654914,0.0898158368347668,-2.05208199182159
"TFF1",722.093926900763,5132.18757214017,3.40687892643353,0.000865471540872148,0.0905648831863442,-2.06297177996821
"MT1G",4887.54456942037,35414.4354577652,3.40532913783105,0.000870005223548224,0.0905648831863442,-2.06546115065754
"FGB",73.621889453849,153.780275509567,3.40476791898562,0.000871652472040074,0.0905648831863442,-2.06636240306843
"WNT9B",-34.9248922653584,382.939384339732,-3.40386147880072,0.000874319164823367,0.0905648831863442,-2.06781780102762
"GCNA",-43.5659757133456,439.330850110622,-3.40224696546557,0.000879087917788439,0.0905648831863442,-2.07040936082654
"SOAT2",-441.97901920201,4816.51333750468,-3.40091261448118,0.000883047551355322,0.0905648831863442,-2.07255050394179
"NR2E3",-5.35190907459469,51.9851686569335,-3.39999594121004,0.000885777423008645,0.0905648831863442,-2.07402105534525
"B3GNT6",480.287225219838,4836.19295860109,3.39552807684927,0.000899196410356052,0.0911031443371706,-2.0811841766392
"DNASE1L2",-12.1029500508467,172.087366445015,-3.39371307595226,0.000904701889251671,0.0911031443371706,-2.0840920235937
"NATD1",-186.268179697309,3686.24250204368,-3.39355415314028,0.00090518545398141,0.0911031443371706,-2.08434658009869
"OLFM4",31038.685825926,218678.744788184,3.3913439436019,0.00091193575705018,0.0911643475250005,-2.08788586260182
"BLOC1S5-TXNDC5",127.872959203205,212.669600459604,3.39027124551383,0.000915228908085805,0.0911643475250005,-2.08960297294077
"C4BPA",46.7601866363584,216.688340427966,3.38757820076668,0.000923545640023758,0.0915210048606107,-2.09391200108103
"CD177",107.152946581324,309.437245165876,3.38594244948985,0.000928631717856376,0.0915555067135541,-2.0965280162206
"NFILZ",-3.17114314769396,19.4284130538911,-3.38315727079423,0.000937352155660959,0.0916949549704664,-2.10098005066431
"SOCS7",-301.015313752465,3003.5445896275,-3.38109319791743,0.000943864222934082,0.0916949549704664,-2.10427760242333
"ZSCAN5B",1.21936471854999,5.74303185882286,3.38096138697735,0.000944281517238813,0.0916949549704664,-2.10448813039404
"DHRS2",2.75314518155172,19.7497539630317,3.37732462897093,0.000955863347977753,0.0923555166816105,-2.1102942613739
"PSME2",3616.34502889275,42334.3303483634,3.37574679363247,0.000960929478340472,0.0923830907435387,-2.11281180267024
"SLC32A1",2.52742716994679,22.517300235042,3.36958731323467,0.000980948050784613,0.0938407927394151,-2.12263100714856
"MT3",12.7220137584495,54.0422680771224,3.36423758332447,0.000998651049262952,0.0950637087485581,-2.13114814373463
"DUSP9",1.1359095531495,3.47968128951297,3.36169064945816,0.0010071838787572,0.0954059866328631,-2.13519937604854
"SAA4",2.28519471196985,4.54087670490593,3.35839666267382,0.00101832072299281,0.0959903885420153,-2.14043538880158
"LEAP2",395.439059161331,5267.0290709798,3.35541025747011,0.00102851714758509,0.0964808998055066,-2.14517906066667
"TUBGCP4",-220.064295567387,3929.1669532859,-3.34143532694968,0.00107751361802326,0.10058875920136,-2.16733386675781
"ABHD4",-474.569654363811,9238.71055995231,-3.32584685170415,0.0011347387846413,0.105323087213893,-2.19196230281791
"CDRT4",-169.917690793804,1406.5028395309,-3.32468153477314,0.0011391288153438,0.105323087213893,-2.19379981981232
"BLTP3A",-200.864840461804,2915.11547133453,-3.31806783821433,0.00116434638221192,0.107142045189824,-2.20421909585955
"SPMAP2",1.04851348926243,4.97718961728281,3.30917351116895,0.00119908286265854,0.109800305111549,-2.21820590886326
"PAXBP1",-326.559825626603,4527.71608974736,-3.30778337455016,0.00120459866920143,0.109800305111549,-2.22038933936217
"GPR135",-36.0861255009867,360.438145340051,-3.30230684104786,0.00122655994693736,0.110648072048243,-2.22898416644982
"CACNA1F",-55.9375375964573,833.969676812232,-3.30113372242416,0.00123131259938892,0.110648072048243,-2.23082380892736
"NIPAL1",319.147073757254,3911.65546879897,3.29920143137179,0.00123917839024674,0.110648072048243,-2.23385284966647
"SLC22A31",21.6727058682781,145.887539621584,3.29851593296049,0.00124198010955811,0.110648072048243,-2.23492709868982
"CT45A5",0.985404079679368,0.324808567178217,3.29752578972935,0.00124603739336088,0.110648072048243,-2.23647845187958
"PROM2",149.449831429082,1849.66818300659,3.29573324334122,0.0012534141602876,0.110648072048243,-2.23928608535286
"GRIK2",25.8027837530654,299.959999792597,3.2955959230469,0.00125398094486468,0.110648072048243,-2.23950111866853
"CCDC183",-51.2007408027745,513.803333995858,-3.29135261200678,0.00127161343924644,0.111194396991995,-2.24614238691356
"TFAP2C",3.65327989471795,7.04656133294968,3.29132246441587,0.0012717395372934,0.111194396991995,-2.24618954750169
"RPSA2",806.732003349883,4611.44178904118,3.28836644252641,0.00128416049523425,0.111194396991995,-2.2508120874698
