"gene_id","gene_name","gene_type"
"ENSG00000116786.16","PLEKHM2","protein_coding"
"ENSG00000162461.9","SLC25A34","protein_coding"
"ENSG00000162460.8","TMEM82","protein_coding"
"ENSG00000162458.14","FBLIM1","protein_coding"
"ENSG00000233954.7","UQCRHL","protein_coding"
"ENSG00000065526.13","SPEN","protein_coding"
"ENSG00000116809.13","ZBTB17","protein_coding"
"ENSG00000183888.4","SRARP","protein_coding"
"ENSG00000173641.19","HSPB7","protein_coding"
"ENSG00000186510.13","CLCNKA","protein_coding"
"ENSG00000184908.21","CLCNKB","protein_coding"
"ENSG00000185519.10","FAM131C","protein_coding"
"ENSG00000142627.14","EPHA2","protein_coding"
"ENSG00000142632.18","ARHGEF19","protein_coding"
"ENSG00000132881.13","CPLANE2","protein_coding"
"ENSG00000037637.12","FBXO42","protein_coding"
"ENSG00000055070.18","SZRD1","protein_coding"
"ENSG00000187144.11","SPATA21","protein_coding"
"ENSG00000157191.21","NECAP2","protein_coding"
"ENSG00000219481.11","NBPF1","protein_coding"
"ENSG00000058453.18","CROCC","protein_coding"
"ENSG00000117122.15","MFAP2","protein_coding"
"ENSG00000159363.19","ATP13A2","protein_coding"
"ENSG00000288636.1","ENSG00000288636","protein_coding"
"ENSG00000117118.13","SDHB","protein_coding"
"ENSG00000117115.14","PADI2","protein_coding"
"ENSG00000142623.11","PADI1","protein_coding"
"ENSG00000142619.4","PADI3","protein_coding"
"ENSG00000159339.13","PADI4","protein_coding"
"ENSG00000276747.1","PADI6","protein_coding"
"ENSG00000179051.15","RCC2","protein_coding"
"ENSG00000074964.18","ARHGEF10L","protein_coding"
"ENSG00000117148.9","ACTL8","protein_coding"
"ENSG00000117154.13","IGSF21","protein_coding"
"ENSG00000179023.9","KLHDC7A","protein_coding"
"ENSG00000009709.14","PAX7","protein_coding"
"ENSG00000179002.6","TAS1R2","protein_coding"
"ENSG00000159423.18","ALDH4A1","protein_coding"
"ENSG00000169991.12","IFFO2","protein_coding"
"ENSG00000127481.15","UBR4","protein_coding"
"ENSG00000127463.17","EMC1","protein_coding"
"ENSG00000053372.6","MRTO4","protein_coding"
"ENSG00000211454.16","AKR7L","protein_coding"
"ENSG00000162482.6","AKR7A3","protein_coding"
"ENSG00000053371.14","AKR7A2","protein_coding"
"ENSG00000040487.14","SLC66A1","protein_coding"
"ENSG00000077549.20","CAPZB","protein_coding"
"ENSG00000173436.16","MICOS10","protein_coding"
"ENSG00000158747.16","NBL1","protein_coding"
"ENSG00000270136.6","MICOS10-NBL1","protein_coding"
"ENSG00000158748.4","HTR6","protein_coding"
"ENSG00000162542.15","TMCO4","protein_coding"
"ENSG00000178828.7","RNF186","protein_coding"
"ENSG00000169914.7","OTUD3","protein_coding"
"ENSG00000188784.4","PLA2G2E","protein_coding"
"ENSG00000188257.13","PLA2G2A","protein_coding"
"ENSG00000127472.12","PLA2G5","protein_coding"
"ENSG00000117215.15","PLA2G2D","protein_coding"
"ENSG00000158786.5","PLA2G2F","protein_coding"
"ENSG00000187980.7","PLA2G2C","protein_coding"
"ENSG00000162543.7","UBXN10","protein_coding"
"ENSG00000158816.17","VWA5B1","protein_coding"
"ENSG00000162545.7","CAMK2N1","protein_coding"
"ENSG00000090432.8","MUL1","protein_coding"
"ENSG00000183114.8","FAM43B","protein_coding"
"ENSG00000158825.7","CDA","protein_coding"
"ENSG00000158828.9","PINK1","protein_coding"
"ENSG00000244038.11","DDOST","protein_coding"
"ENSG00000117245.14","KIF17","protein_coding"
"ENSG00000189410.13","SH2D5","protein_coding"
"ENSG00000127483.21","HP1BP3","protein_coding"
"ENSG00000075151.24","EIF4G3","protein_coding"
"ENSG00000117298.16","ECE1","protein_coding"
"ENSG00000142794.20","NBPF3","protein_coding"
"ENSG00000162551.15","ALPL","protein_coding"
"ENSG00000289715.1","ENSG00000289715","protein_coding"
"ENSG00000076864.22","RAP1GAP","protein_coding"
"ENSG00000090686.17","USP48","protein_coding"
"ENSG00000187942.12","LDLRAD2","protein_coding"
"ENSG00000142798.20","HSPG2","protein_coding"
"ENSG00000219073.8","CELA3B","protein_coding"
"ENSG00000142789.20","CELA3A","protein_coding"
"ENSG00000289694.1","ENSG00000289694","protein_coding"
"ENSG00000070831.19","CDC42","protein_coding"
"ENSG00000162552.16","WNT4","protein_coding"
"ENSG00000184677.19","ZBTB40","protein_coding"
"ENSG00000070886.12","EPHA8","protein_coding"
"ENSG00000173372.19","C1QA","protein_coding"
"ENSG00000289692.1","ENSG00000289692","protein_coding"
"ENSG00000159189.14","C1QC","protein_coding"
"ENSG00000173369.19","C1QB","protein_coding"
"ENSG00000133216.17","EPHB2","protein_coding"
"ENSG00000215906.9","LACTBL1","protein_coding"
"ENSG00000227868.7","TEX46","protein_coding"
"ENSG00000004487.19","KDM1A","protein_coding"
"ENSG00000169641.16","LUZP1","protein_coding"
"ENSG00000293565.1","ENSG00000293565","protein_coding"
"ENSG00000179546.6","HTR1D","protein_coding"
"ENSG00000125944.23","HNRNPR","protein_coding"
"ENSG00000125945.16","ZNF436","protein_coding"
"ENSG00000204219.12","TCEA3","protein_coding"
"ENSG00000088280.22","ASAP3","protein_coding"
"ENSG00000007968.8","E2F2","protein_coding"
"ENSG00000117318.10","ID3","protein_coding"
"ENSG00000142676.15","RPL11","protein_coding"
"ENSG00000011007.14","ELOA","protein_coding"
"ENSG00000057757.11","PITHD1","protein_coding"
"ENSG00000011009.13","LYPLA2","protein_coding"
"ENSG00000117308.16","GALE","protein_coding"
"ENSG00000117305.16","HMGCL","protein_coding"
"ENSG00000179163.13","FUCA1","protein_coding"
"ENSG00000188822.8","CNR2","protein_coding"
"ENSG00000189266.14","PNRC2","protein_coding"
"ENSG00000188529.16","SRSF10","protein_coding"
"ENSG00000142661.20","MYOM3","protein_coding"
"ENSG00000142677.5","IL22RA1","protein_coding"
"ENSG00000185436.13","IFNLR1","protein_coding"
"ENSG00000158055.17","GRHL3","protein_coding"
"ENSG00000001460.19","STPG1","protein_coding"
"ENSG00000001461.20","NIPAL3","protein_coding"
"ENSG00000117602.14","RCAN3","protein_coding"
"ENSG00000184454.8","NCMAP","protein_coding"
"ENSG00000133226.20","SRRM1","protein_coding"
"ENSG00000169504.16","CLIC4","protein_coding"
"ENSG00000020633.19","RUNX3","protein_coding"
"ENSG00000117614.11","SYF2","protein_coding"
"ENSG00000117616.19","RSRP1","protein_coding"
"ENSG00000187010.21","RHD","protein_coding"
"ENSG00000183726.12","TMEM50A","protein_coding"
"ENSG00000188672.19","RHCE","protein_coding"
"ENSG00000204178.12","MACO1","protein_coding"
"ENSG00000157978.14","LDLRAP1","protein_coding"
"ENSG00000117643.17","MAN1C1","protein_coding"
"ENSG00000162430.18","SELENON","protein_coding"
"ENSG00000255054.3","ENSG00000255054","protein_coding"
"ENSG00000117640.19","MTFR1L","protein_coding"
"ENSG00000127423.11","AUNIP","protein_coding"
"ENSG00000182749.7","PAQR7","protein_coding"
"ENSG00000117632.24","STMN1","protein_coding"
"ENSG00000158006.15","PAFAH2","protein_coding"
"ENSG00000158008.11","EXTL1","protein_coding"
"ENSG00000158014.16","SLC30A2","protein_coding"
"ENSG00000158022.7","TRIM63","protein_coding"
"ENSG00000175087.11","PDIK1L","protein_coding"
"ENSG00000197245.7","FAM110D","protein_coding"
"ENSG00000282872.2","C1orf232","protein_coding"
"ENSG00000236782.9","ZNF593OS","protein_coding"
"ENSG00000142684.9","ZNF593","protein_coding"
"ENSG00000142675.19","CNKSR1","protein_coding"
"ENSG00000188782.9","CATSPER4","protein_coding"
"ENSG00000130695.17","CEP85","protein_coding"
"ENSG00000142669.16","SH3BGRL3","protein_coding"
"ENSG00000158062.22","UBXN11","protein_coding"
"ENSG00000169442.9","CD52","protein_coding"
"ENSG00000176092.17","CRYBG2","protein_coding"
"ENSG00000176083.19","ZNF683","protein_coding"
"ENSG00000131914.11","LIN28A","protein_coding"
"ENSG00000117682.19","DHDDS","protein_coding"
"ENSG00000198830.14","HMGN2","protein_coding"
"ENSG00000117676.15","RPS6KA1","protein_coding"
"ENSG00000117713.22","ARID1A","protein_coding"
"ENSG00000060642.13","PIGV","protein_coding"
"ENSG00000204160.13","ZDHHC18","protein_coding"
"ENSG00000175793.12","SFN","protein_coding"
"ENSG00000142751.16","GPN2","protein_coding"
"ENSG00000198746.14","GPATCH3","protein_coding"
"ENSG00000090273.15","NUDC","protein_coding"
"ENSG00000131910.5","NR0B2","protein_coding"
"ENSG00000175707.11","KDF1","protein_coding"
"ENSG00000253368.5","TRNP1","protein_coding"
"ENSG00000158246.8","TENT5B","protein_coding"
"ENSG00000090020.12","SLC9A1","protein_coding"
"ENSG00000142784.17","WDTC1","protein_coding"
"ENSG00000186501.16","TMEM222","protein_coding"
"ENSG00000142765.19","SYTL1","protein_coding"
"ENSG00000142733.19","MAP3K6","protein_coding"
"ENSG00000142748.15","FCN3","protein_coding"
"ENSG00000174950.12","CD164L2","protein_coding"
"ENSG00000181773.8","GPR3","protein_coding"
"ENSG00000158195.12","WASF2","protein_coding"
"ENSG00000126705.16","AHDC1","protein_coding"
"ENSG00000000938.14","FGR","protein_coding"
"ENSG00000126709.16","IFI6","protein_coding"
"ENSG00000009780.17","FAM76A","protein_coding"
"ENSG00000117758.15","STX12","protein_coding"
"ENSG00000117751.19","PPP1R8","protein_coding"
"ENSG00000130775.17","THEMIS2","protein_coding"
"ENSG00000117748.11","RPA2","protein_coding"
"ENSG00000130768.16","SMPDL3B","protein_coding"
"ENSG00000158156.9","XKR8","protein_coding"
"ENSG00000158161.17","EYA3","protein_coding"
"ENSG00000169403.13","PTAFR","protein_coding"
"ENSG00000126698.12","DNAJC8","protein_coding"
"ENSG00000130770.19","ATP5IF1","protein_coding"
"ENSG00000130766.6","SESN2","protein_coding"
"ENSG00000130772.14","MED18","protein_coding"
"ENSG00000204138.14","PHACTR4","protein_coding"
"ENSG00000180198.18","RCC1","protein_coding"
"ENSG00000180098.10","TRNAU1AP","protein_coding"
"ENSG00000120656.15","TAF12","protein_coding"
"ENSG00000188060.8","RAB42","protein_coding"
"ENSG00000162419.14","GMEB1","protein_coding"
"ENSG00000198492.17","YTHDF2","protein_coding"
"ENSG00000116329.12","OPRD1","protein_coding"
"ENSG00000159023.24","EPB41","protein_coding"
"ENSG00000253304.3","TMEM200B","protein_coding"
"ENSG00000116350.19","SRSF4","protein_coding"
"ENSG00000116353.17","MECR","protein_coding"
"ENSG00000060656.21","PTPRU","protein_coding"
"ENSG00000289710.1","ENSG00000289710","protein_coding"
"ENSG00000162510.6","MATN1","protein_coding"
"ENSG00000162511.9","LAPTM5","protein_coding"
"ENSG00000162512.17","SDC3","protein_coding"
"ENSG00000134644.17","PUM1","protein_coding"
"ENSG00000084628.11","NKAIN1","protein_coding"
"ENSG00000060688.14","SNRNP40","protein_coding"
"ENSG00000121766.17","ZCCHC17","protein_coding"
"ENSG00000121769.9","FABP3","protein_coding"
"ENSG00000168528.13","SERINC2","protein_coding"
"ENSG00000142910.17","TINAGL1","protein_coding"
"ENSG00000121764.13","HCRTR1","protein_coding"
"ENSG00000162517.14","PEF1","protein_coding"
"ENSG00000084636.19","COL16A1","protein_coding"
"ENSG00000121753.13","ADGRB2","protein_coding"
"ENSG00000134668.14","SPOCD1","protein_coding"
"ENSG00000184007.22","PTP4A2","protein_coding"
"ENSG00000288678.2","ENSG00000288678","protein_coding"
"ENSG00000121774.19","KHDRBS1","protein_coding"
"ENSG00000121775.19","TMEM39B","protein_coding"
"ENSG00000025800.14","KPNA6","protein_coding"
"ENSG00000084652.17","TXLNA","protein_coding"
"ENSG00000160050.17","CCDC28B","protein_coding"
"ENSG00000160051.13","IQCC","protein_coding"
"ENSG00000222046.4","DCDC2B","protein_coding"
"ENSG00000160055.20","TMEM234","protein_coding"
"ENSG00000084623.13","EIF3I","protein_coding"
"ENSG00000183615.7","FAM167B","protein_coding"
"ENSG00000182866.19","LCK","protein_coding"
"ENSG00000116478.14","HDAC1","protein_coding"
"ENSG00000175130.8","MARCKSL1","protein_coding"
"ENSG00000162526.7","TSSK3","protein_coding"
"ENSG00000225828.2","FAM229A","protein_coding"
"ENSG00000160058.20","BSDC1","protein_coding"
"ENSG00000273274.3","ZBTB8B","protein_coding"
"ENSG00000254553.1","ENSG00000254553","protein_coding"
"ENSG00000160062.16","ZBTB8A","protein_coding"
"ENSG00000176261.17","ZBTB8OS","protein_coding"
"ENSG00000162521.19","RBBP4","protein_coding"
"ENSG00000162520.16","SYNC","protein_coding"
"ENSG00000162522.12","NHSL3","protein_coding"
"ENSG00000134684.14","YARS1","protein_coding"
"ENSG00000116497.19","S100PBP","protein_coding"
"ENSG00000160097.21","FNDC5","protein_coding"
"ENSG00000121905.11","HPCA","protein_coding"
"ENSG00000121900.20","TMEM54","protein_coding"
"ENSG00000116514.18","RNF19B","protein_coding"
"ENSG00000004455.19","AK2","protein_coding"
"ENSG00000142920.19","AZIN2","protein_coding"
"ENSG00000116525.14","TRIM62","protein_coding"
"ENSG00000160094.16","ZNF362","protein_coding"
"ENSG00000184389.9","A3GALT2","protein_coding"
"ENSG00000134686.22","PHC2","protein_coding"
"ENSG00000121903.16","ZSCAN20","protein_coding"
"ENSG00000121904.19","CSMD2","protein_coding"
"ENSG00000176256.11","HMGB4","protein_coding"
"ENSG00000142698.15","C1orf94","protein_coding"
"ENSG00000163866.10","SMIM12","protein_coding"
"ENSG00000189280.4","GJB5","protein_coding"
"ENSG00000189433.8","GJB4","protein_coding"
"ENSG00000188910.9","GJB3","protein_coding"
"ENSG00000187513.10","GJA4","protein_coding"
"ENSG00000116544.12","DLGAP3","protein_coding"
"ENSG00000284773.1","ENSG00000284773","protein_coding"
"ENSG00000243749.3","TMEM35B","protein_coding"
"ENSG00000271741.1","ENSG00000271741","protein_coding"
"ENSG00000163867.18","ZMYM6","protein_coding"
"ENSG00000197056.13","ZMYM1","protein_coding"
"ENSG00000116560.12","SFPQ","protein_coding"
"ENSG00000146463.13","ZMYM4","protein_coding"
"ENSG00000142687.20","KIAA0319L","protein_coding"
"ENSG00000020129.17","NCDN","protein_coding"
"ENSG00000116819.9","TFAP2E","protein_coding"
"ENSG00000126067.13","PSMB2","protein_coding"
"ENSG00000142686.9","C1orf216","protein_coding"
"ENSG00000092853.15","CLSPN","protein_coding"
"ENSG00000134698.12","AGO4","protein_coding"
"ENSG00000092847.15","AGO1","protein_coding"
"ENSG00000126070.21","AGO3","protein_coding"
"ENSG00000092850.13","TEKT2","protein_coding"
"ENSG00000116863.12","ADPRS","protein_coding"
"ENSG00000171812.13","COL8A2","protein_coding"
"ENSG00000054116.13","TRAPPC3","protein_coding"
"ENSG00000116871.17","MAP7D1","protein_coding"
"ENSG00000054118.16","THRAP3","protein_coding"
"ENSG00000214193.12","SH3D21","protein_coding"
"ENSG00000142694.8","EVA1B","protein_coding"
"ENSG00000196182.12","STK40","protein_coding"
"ENSG00000181817.7","LSM10","protein_coding"
"ENSG00000116885.19","OSCP1","protein_coding"
"ENSG00000116898.13","MRPS15","protein_coding"
"ENSG00000119535.21","CSF3R","protein_coding"
"ENSG00000163873.10","GRIK3","protein_coding"
"ENSG00000163874.12","ZC3H12A","protein_coding"
"ENSG00000163875.17","MEAF6","protein_coding"
"ENSG00000163877.11","SNIP1","protein_coding"
"ENSG00000163879.12","DNALI1","protein_coding"
"ENSG00000134697.14","GNL2","protein_coding"
"ENSG00000169218.15","RSPO1","protein_coding"
"ENSG00000116922.16","AIRIM","protein_coding"
"ENSG00000134690.12","CDCA8","protein_coding"
"ENSG00000183317.18","EPHA10","protein_coding"
"ENSG00000185090.16","MANEAL","protein_coding"
"ENSG00000196449.5","YRDC","protein_coding"
"ENSG00000197982.14","C1orf122","protein_coding"
"ENSG00000188786.11","MTF1","protein_coding"
"ENSG00000204084.15","INPP5B","protein_coding"
"ENSG00000183431.13","SF3A3","protein_coding"
"ENSG00000183386.12","FHL3","protein_coding"
"ENSG00000183520.13","UTP11","protein_coding"
"ENSG00000185668.8","POU3F1","protein_coding"
"ENSG00000116954.9","RRAGC","protein_coding"
"ENSG00000214114.10","MYCBP","protein_coding"
"ENSG00000274944.4","ENSG00000274944","protein_coding"
"ENSG00000131233.10","GJA9","protein_coding"
"ENSG00000158315.12","RHBDL2","protein_coding"
"ENSG00000174574.17","AKIRIN1","protein_coding"
"ENSG00000168653.12","NDUFS5","protein_coding"
"ENSG00000127603.32","MACF1","protein_coding"
"ENSG00000183682.9","BMP8A","protein_coding"
"ENSG00000090621.16","PABPC4","protein_coding"
"ENSG00000163909.9","HEYL","protein_coding"
"ENSG00000116981.5","NT5C1A","protein_coding"
"ENSG00000116983.14","HPCAL4","protein_coding"
"ENSG00000084072.18","PPIE","protein_coding"
"ENSG00000116985.12","BMP8B","protein_coding"
"ENSG00000198754.5","OXCT2","protein_coding"
"ENSG00000043514.17","TRIT1","protein_coding"
"ENSG00000116990.12","MYCL","protein_coding"
"ENSG00000168389.19","MFSD2A","protein_coding"
"ENSG00000131236.19","CAP1","protein_coding"
"ENSG00000131238.19","PPT1","protein_coding"
"ENSG00000117000.9","RLF","protein_coding"
"ENSG00000188800.6","TMCO2","protein_coding"
"ENSG00000084073.11","ZMPSTE24","protein_coding"
"ENSG00000049089.16","COL9A2","protein_coding"
"ENSG00000084070.13","SMAP2","protein_coding"
"ENSG00000187801.16","ZFP69B","protein_coding"
"ENSG00000187815.11","ZFP69","protein_coding"
"ENSG00000164002.13","EXO5","protein_coding"
