"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KCNH8",-0.0995406781227005,0.183011982617703,-0.482553957581682,0.630190442882095,0.919498650735821,-5.24012983659117
"DCLK2",-0.126276365269872,0.975168792605062,-0.562114609625298,0.574965804857292,0.900482309477509,-5.24015639365825
"RPS27A",0.147348801202667,10.2058434211458,0.629169413403725,0.530296526136395,0.891430287523102,-5.24033167650309
"PLK3",-0.131202110183726,2.12299020712215,-0.562670390581741,0.574588287606923,0.900482309477509,-5.24042375373077
"MLLT1",0.105910262555203,4.56118870446187,0.864768971034453,0.388692632493664,0.836806127657509,-5.24047852468286
"SEPTIN5",-0.117511200624808,-0.441628644064476,-0.430333798540071,0.667635915513291,0.926891714211395,-5.2406595127628
"CCDC88B",-0.191561168431599,4.1973975767296,-0.685943684467848,0.493919584274601,0.880928012472125,-5.24068990075368
"MARCHF3",0.104836945533304,3.50871477672189,0.866492476020038,0.387750544658441,0.835602342574627,-5.24083654280169
"DNAL1",-0.102315445760771,2.85483179810387,-0.747807421375088,0.455871055810219,0.867017347985594,-5.24106309299069
"CCDC82",0.11569660412732,4.27595362862019,0.885932252288383,0.377222222298288,0.832928723865938,-5.24106609374266
"CDC42SE2",0.126025795323016,7.1744587180478,1.02090461819013,0.309117304863709,0.795172087718718,-5.24107337876945
"LYPD6",0.177755238188301,2.50322998935213,0.732415515421299,0.465178889567142,0.868343333192476,-5.24114059798503
"CHMP6",-0.0961749057076306,4.00884766314757,-0.811342732447973,0.418590521643166,0.848323932332692,-5.2412235343173
"ANKRD18A",0.147845948784403,2.48596601091854,0.798251305578618,0.426120257259292,0.853319304127296,-5.24127683382233
"PRRC2C",-0.130720077839488,7.92805276391307,-0.955097065799723,0.341227947072996,0.814024741955735,-5.24159205665022
"FCGR1A",0.192919109522378,1.02130968512517,0.557340581669709,0.578213463963237,0.901452620689821,-5.24162904821478
"FLI1",-0.15978553392666,4.01877032276319,-0.76947865917411,0.442947328518329,0.861883088555447,-5.24170420502725
"SGSM2",0.128443680413584,4.65318264950835,0.783142108623309,0.434909103488653,0.856864755599912,-5.24199786121147
"ZNF433",0.0889675498668612,0.220568022936268,0.454446116284932,0.650234288965833,0.924775772778264,-5.24205212963516
"ZNF790",-0.125360924169252,2.33309055889184,-0.665951452851488,0.506573286681989,0.883591772562883,-5.24210932018621
